Ecozone,Realm,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Temperate desert,EAS,0.131654052,0.122904387,0.041761592,0.072557682,0.04749852,0.067659383,0.056823876,0.000655525,0.136832582,0.043383083,0.043258489,0.100548586,0.012040484,0.003852774
Temperate desert,NAM,0.573372624,0.67994051,1.011534105,1.471716316,0.930919922,1.185659865,1.130854325,0.009242115,1.195970049,1.052212739,0.721450848,1.015735156,0.694617766,0.676696551
Temperate mountain system,AUS,0.139480757,0.178017349,0.821599172,0.253674089,0.26330876,0.231476873,0.707492401,0.00259005,0.912222198,0.307193126,0.17811916,0.2353826,0.494298356,0.243243329
Temperate mountain system,EAS,0.128918668,0.114218491,0.18216277,0.240731858,0.183024742,0.1433373,0.266557417,0.002191325,0.165732479,0.175415245,0.180502763,0.196651745,0.097496639,0.104917401
Temperate mountain system,NAM,0.503400919,0.537351354,0.481998692,0.805900598,0.568075268,0.6870849,0.832989645,0.006861721,0.438333728,0.546057611,0.442643599,0.625825,0.437841204,0.461273423
Temperate mountain system,SAM,0.023049896,0.067846034,0.065789207,0.04820146,0.023000642,0.065783819,0.043039872,0.001947888,0.087483416,0.055233346,0.064021005,0.302279551,0.066156448,0.054543785
Temperate oceanic forest,AUS,0.390425042,0.39963784,0.465275107,0.512176085,0.410678822,0.499340752,0.662764935,0.004888312,0.513766989,0.406697785,0.324239771,0.372026463,0.650677697,0.737467866
Temperate oceanic forest,EAS,0.286532522,0.264116657,0.137888091,0.48057046,0.417980328,0.487223034,0.600070324,0.005960692,0.513649235,0.897414862,0.47590885,0.526114411,0.364069287,0.371965812
Temperate oceanic forest,NAM,1.005352317,0.914665524,1.052212605,1.193690366,1.18521069,1.257569212,0.95836146,0.010022814,0.758793626,0.694730018,0.907779141,0.95936134,0.943226384,0.874022012
Temperate oceanic forest,SAM,0.171212632,0.109333123,0.169757434,0.182373572,0.277554127,0.171480044,0.249205849,0.002891654,0.15858016,0.20207283,0.20304681,0.603262508,0.210907852,0.195858818
Temperate steppe,EAS,0.14450161,0.133933358,0.476223029,0.249919133,0.141877394,0.29162469,0.396736397,0.006835443,0.417648106,0.170557009,0.251441948,0.225404649,0.086270655,0.043360558
Temperate steppe,NAM,0.196587634,0.157257348,0.156932713,0.295443499,0.249730448,0.175287028,0.267767356,0.00168545,0.090156195,0.095538005,0.111770083,0.246549991,0.270100535,0.162479193
Temperate steppe,SAM,0.142502946,0.152805958,0.111236667,0.109052655,0.093284586,0.098205038,0.096298066,0.001650838,0.087059673,0.056673147,0.074717817,0.222555393,0.066507194,0.040892107
