country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Bulgaria,0.198839901,0.112889255,0.126670828,0.198484858,0.15955842,0.125801638,0.231466076,0.156433028,0.148043902,0.087952071,0.082458962,0.24241032,0.090629272,0.114772891
Burkina Faso,45.02142301,3.257104916,1.542856226,6.513656632,12.79839535,3.600883412,2.171007653,3.601207125,3.430298605,5.266325332,11.5955982,0.285927095,0.17143815,0
Burundi,0.263354065,0.183333697,0.246352203,0.11410578,0.183087388,0.063835546,0.345913409,0.371432103,0.164056233,0.353839863,0.178510351,0.161827601,0.261256196,0.289222646
Cambodia,0.323374495,0.622704858,0.645103402,0.899504156,0.733802819,0.913751812,0.88167832,0.947604237,1.373788334,2.699994991,2.180840081,2.219787574,2.157827997,1.404949747
Cameroon,0.124753072,0.091407821,0.080494603,0.073106578,0.079934118,0.114395765,0.145940393,0.111711024,0.114666824,0.184362695,0.087803169,0.162939724,0.268868079,0.447601571
Canada,0.324863188,0.554183931,0.384451263,0.647367098,0.698634517,0.575544947,0.506587626,0.466189626,0.370838659,0.503472602,0.516825444,0.608865366,0.671496595,0.496458342
Cape Verde,0.097015978,0.310415247,0.121333307,0.008090474,0.074488016,0.081896203,0.008044792,0.002013952,0.108173422,0.012128494,0.223077026,0.122255208,0.132828987,0.055448799
Cayman Islands,0.153670768,0.041596685,0.0469952,0.349990405,0.068065329,0.133444038,0.132735984,0.240342158,0.222042265,0.295677015,0.295538398,0.068564451,0.134529405,0.057253392
Central African Republic,0.066458458,0.073129147,0.029201461,0.030992361,0.062306607,0.122981701,0.079276316,0.067676757,0.102528793,0.103195765,0.104360746,0.121795888,0.093914003,0.104061
Chad,0.204919365,0.477532051,0.047297814,0.110599072,0.114976515,0.726919517,0.243837838,0.827630981,0.251827989,0.061793015,0.224579548,0.608598085,0.706782793,0.532307233
Chile,0.376995291,0.404835793,0.429529716,0.444488923,0.554391003,0.476605801,0.630745881,0.638087501,0.459202401,0.474388263,0.515110912,0.90635645,0.530110752,0.56124705
China,0.141501664,0.153096307,0.160844452,0.308168529,0.235703653,0.353461305,0.401226189,0.453456427,0.368425929,0.385767563,0.367803905,0.371723432,0.271165924,0.235707707
Christmas Island,,,,,,,,,,,,,,
Clipperton Island,,,,,,,,,,,,,,
Cocos Islands,,,,,,,,,,,,,,
Colombia,0.281014205,0.222596466,0.149551947,0.31001215,0.230573657,0.232071025,0.328751729,0.283279524,0.290703474,0.240790988,0.231984613,0.27815919,0.169660575,0.202377713
Comoros,0.027431778,0.030570308,0.019774811,0.029961856,0.064220136,0.009618088,0.057668787,0.025933016,0.083248895,0.068479841,0.090969217,0.094441992,1.283330435,0.854843932
Cook Islands,,,,,,,,,,,,,,
Costa Rica,0.395137404,0.339610074,0.211104681,0.249602689,0.423268307,0.257075786,0.292557121,0.559029504,0.574094876,0.335936948,0.268226694,0.264936599,0.198965245,0.230617662
Cote d'Ivoire,0.825081416,0.971987194,0.58014117,0.323065331,0.439200225,0.657449722,0.610953081,0.857646646,0.732053972,0.621892238,0.838342499,0.646345738,1.181759048,1.809864979
Croatia,0.13895767,0.096249599,0.071524469,0.276687552,0.112991443,0.090658956,0.133145137,0.160029108,0.119385911,0.143924491,0.120046054,0.20583273,0.123297919,0.132801902
Cuba,0.471849585,0.374528466,0.163320675,0.547344365,0.319672684,0.306507878,0.196127793,0.425539391,0.405018448,0.214419205,0.406334921,0.257683426,0.151236673,0.100083556
Curacao,0.017161101,0.024317895,0.015738643,0.011440383,0.012874586,0.06578407,0.080082802,0.104407241,0.088676002,0.032882732,0.02575076,0.140200806,0.118711517,0.010014387
Cyprus,0.095624271,0.034749946,0.02703313,0.102124826,0.037585262,0.074784219,0.775508548,0.113626383,0.0786518,0.072109468,0.130514916,0.060361923,0.029935273,0.053561499
Czech Republic,0.112419331,0.220248235,0.127639344,0.433339813,0.830993319,0.279143631,0.687928783,0.54799375,0.437692339,0.500518487,0.708824539,0.453655678,0.248411376,0.362470186
Democratic Republic of the Congo,0.22860425,0.25814197,0.137850617,0.200800844,0.243552866,0.227399829,0.232253027,0.20318325,0.318803726,0.406719313,0.215519643,0.316578563,0.462047095,0.552583539
Denmark,0.652643831,0.181607518,0.238181982,0.363943731,1.36435706,0.786099021,0.660615177,0.913827122,1.002005284,0.667668437,0.472285866,0.671257138,0.303874297,0.575344424
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,0.032136498,0.016742668,0.038405032,0.111886254,0.073772691,0.035788176,0.056820726,0.131651621,0.104026198,0.129884516,0.062690578,0.204052436,0.031185992,0.016950886
Dominican Republic,0.436525558,0.405047272,0.415832145,0.752477396,0.973730548,0.520620551,0.62328335,0.838807933,0.542077813,0.54734973,0.503019665,0.694958039,0.493028446,0.394249848
East Timor,0.093308548,0.220940078,0.095121203,0.283964881,0.180609545,0.403407358,0.214233286,0.11468709,0.362761026,0.089091791,0.201545942,0.259907178,0.063726176,0.195204051
Ecuador,0.237292157,0.157354738,0.073151266,0.196988859,0.212723171,0.187602616,0.318385486,0.273090298,0.303120921,0.177870655,0.22931508,0.390335849,0.254301006,0.129246907
Egypt,0.095762066,0.031634416,0.039539984,0.065746236,0.034121609,0.024708269,0.050724551,0.05279623,0.038604473,0.063629033,0.066507133,0.284407859,0.062862359,0.067606382
El Salvador,0.960676206,0.471925474,0.60513336,0.460642003,0.59470135,0.465635674,0.301788849,0.336216436,0.4332125,0.290549105,0.327886537,0.256440738,0.207669894,0.183915067
Equatorial Guinea,0.134898917,0.11245493,0.074075473,0.015876457,0.060699256,0.047404271,0.118252999,0.181505843,0.214525414,0.247933594,0.290681721,0.186911439,0.274767935,0.570888936
Eritrea,54.89879899,0,0,0,0,0,0,0,0,0,0,0,0,0
