Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
_«™ankiri,0.004780516,0.150108188,0.002868309,0.152020394,0.009561031,0.180703487,0.130030023,0.021034268,0.095610311,0.016253753,0.043980743,0.032507506,0.029639196,0.038244124
_«™orum,0.077205043,0.38238347,0.008011844,0.499647734,0.131102904,0.083031839,0.072106597,0.050984463,0.241083673,0.077933393,0.076476694,0.065551452,0.079390092,0.037145823
A‹•asco,0.296354348,0.164641304,0.230497826,0.477459782,0.246961956,0.279890217,0.362210869,0.329282608,0.378675,0.214033695,0.296354348,0.164641304,0.082320652,0.01646413
A‹èn Defla,1.132852314,0.423812459,1.045833787,1.263380106,0.718708581,1.314946641,1.132852314,1.866063983,2.391398057,0.367411561,2.054604126,0.752549119,0.16436833,0.259444129
A‹èn T‹_mouchent,0.421622932,0.105405733,0.105405733,0.210811466,0.1581086,0.052702867,0.105405733,0.316217199,0.210811466,0,0,0.579731532,0.210811466,0.210811466
Aargau,0.137017296,0.111095105,0.051844382,0.346246411,0.31662105,0.20367436,0.261073497,0.22219021,0.266628252,0.374020187,0.518443824,0.120353031,0.146275222,0.148126807
Abia,2.167867504,0.572444231,0.534457962,0.221733799,0.205832571,0.079506143,0.123676223,0.070672127,0.348943628,0.459368827,0.395763913,0.416082149,0.992943388,1.007077814
Abkhazia,0.012649971,0.004273639,0.004444584,0.010085787,0.013333753,0.014701317,0.015214154,0.008034441,0.005812149,0.008718223,0.005983094,0.010085787,0.008718223,0.001196619
abljak,0.03450158,0.006900316,0,0.055202528,0.013800632,0.006900316,0.041401896,0.220810111,0.020700948,0.006900316,0,0.110405055,0.041401896,0.027601264
Abra,0.064423102,0.081652536,0.039702609,0.13858458,0.118358723,0.098507418,0.093263677,0.046070009,0.088394489,0.083899854,0.038953504,0.04232448,0.086521724,0.089892701
Abruzzo,0.038081541,0.055417167,0.008241527,0.061669361,0.031545157,0.033534491,0.055701358,0.583159115,0.065079648,0.038934112,0.066784791,0.083267846,0.045754687,0.027282298
Abseron,1.19828645,3.594859351,0.898714838,0.898714838,0,0.299571613,0.898714838,0,0,1.19828645,0,0.599143225,0,0
Abu Dhabi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abyan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aceh,0.365675849,0.219577837,0.236710439,0.389962063,0.541891171,0.430459126,0.484942803,0.734858371,1.385716897,0.814129216,0.952232014,0.989082136,0.826552857,0.939968678
Acklins,0.006109191,0.006109191,0,0,0,0.024436763,0.030545954,0,0,0.012218382,0,0.012218382,0.012218382,0.018327572
Acoua,0,0,0,0,0,0,0.084231806,0.168463612,0,0,0,0.084231806,0.336927224,0.589622642
Acquaviva,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acre,0.46809085,0.475949274,0.26194283,0.467263282,1.181274123,0.279140956,0.241135393,0.383525863,0.246552837,0.295699282,0.278862782,0.435864357,0.344122473,0.4084016
Ad Dakhliyah,0,0,0,0,0,0,0,0,0,0,0,0,0,0
